ID;CAMPANHA;ETAPA;MODULO;DATA_REGISTRO;HORARIO;PERIODO_SAZONAL;NOME_CIENTIFICO;ABUNDANCIA_INDIVIDUOS
26129;3;IMPLANTA플O;7;02/06/2013 00:00;05:15:00.000;VAZANTE;LOPHOSTRIX CRISTATA;1
28261;3;IMPLANTA플O;7;02/06/2013 00:00;05:15:00.000;VAZANTE;NYCTIDROMUS ALBICOLLIS;1
104538;14;OPERA플O;2;31/10/2018 00:00;20:50:00.000;SECA;PIONUS MENSTRUUS;1
114540;20;OPERA플O;6;06/11/2021 00:00;9h58;SECA;PHEUGOPEDIUS CORAYA;2
114541;20;OPERA플O;6;06/11/2021 00:00;9h58;SECA;MELANERPES CRUENTATUS;3
114542;20;OPERA플O;6;06/11/2021 00:00;9h58;SECA;TOLMOMYIAS POLIOCEPHALUS;2
114543;20;OPERA플O;6;06/11/2021 00:00;9h58;SECA;PHAETHORNIS RUBER;2
114544;20;OPERA플O;6;07/11/2021 00:00;6h14;SECA;CERCOMACROIDES NIGRESCENS;3
114545;20;OPERA플O;6;07/11/2021 00:00;6h14;SECA;PHEUGOPEDIUS CORAYA;2
114546;20;OPERA플O;6;07/11/2021 00:00;6h14;SECA;PIONUS MENSTRUUS;2
121716;20;OPERA플O;6;06/11/2021 00:00;9h58;SECA;GALBULA DEA;1
121717;20;OPERA플O;6;07/11/2021 00:00;6h14;SECA;TROGON VIRIDIS;1
121718;20;OPERA플O;6;07/11/2021 00:00;6h14;SECA;LEPTOTILA RUFAXILLA;1
121719;20;OPERA플O;6;07/11/2021 00:00;6h14;SECA;TROGON RAMONIANUS;1
122450;20;OPERA플O;6;06/11/2021 00:00;9h58;SECA;TODIROSTRUM CHRYSOCROTAPHUM;1
122451;20;OPERA플O;6;06/11/2021 00:00;9h58;SECA;MYRMOBORUS LEUCOPHRYS;1
122452;20;OPERA플O;6;06/11/2021 00:00;9h58;SECA;HYLOPEZUS BERLEPSCHI;1
122453;20;OPERA플O;6;07/11/2021 00:00;6h14;SECA;XIPHORHYNCHUS GUTTATOIDES;1
144112;10;OPERA플O;5;22/08/2016 00:00;1900/01/01 09:40:00.000;VAZANTE;STELGIDOPTERYX RUFICOLLIS;1
149097;10;OPERA플O;5;22/08/2016 00:00;1900/01/01 09:40:00.000;VAZANTE;ARREMON TACITURNUS;1
149097;10;OPERA플O;5;22/08/2016 00:00;;VAZANTE;ARREMON TACITURNUS;1
122451;20;OPERA플O;6;06/11/2021 00:00; ;SECA;MYRMOBORUS LEUCOPHRYS;1
